"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","med_option_recent","rev_type_new"
"374",2022,"0457","416","0356",NA,"9999","OPTIONAL LIFE INS-RETIREMENT",11862528.17,"rev_ioc_22.08.01","GROUP INSURANCE PREMIUM","CENTRAL MANAGEMENT",NA,NA,"0457","0457","0",NA,"1","GROUP INSURANCE PREMIUM","I","State Trust Funds","1","1","OPTIONAL LIFE INS-RETIREMENT","78",".",NA,0,NA,0,"78"
"375",2021,"0050","444","0359",NA,NA,"TINLEY PARK MH/DD CENTER",4206.98,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","TINLEY PARK MH/DD CENTER","36",".",NA,0,NA,0,"36"
"376",2022,"0050","444","0359",NA,"9999","TINLEY PARK MH/DD CENTER",12824.47,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","TINLEY PARK MH/DD CENTER","36",".",NA,0,NA,0,"36"
"377",2021,"0050","444","0360",NA,NA,"DIXON STATE SCHOOL",996103.34,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","DIXON STATE SCHOOL","36",".",NA,0,NA,0,"36"
"378",2022,"0050","444","0360",NA,"9999","DIXON STATE SCHOOL",1062890.89,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","DIXON STATE SCHOOL","36",".",NA,0,NA,0,"36"
"379",2021,"0050","444","0361",NA,NA,"ALTON STATE HOSPITAL",96554.86,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ALTON STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"380",2022,"0050","444","0361",NA,"9999","ALTON STATE HOSPITAL",27982.83,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ALTON STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"381",2021,"0050","444","0362",NA,NA,"GENERAL OFFICE",30400,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","GENERAL OFFICE","36",".",NA,0,NA,0,"36"
"382",2022,"0050","444","0362",NA,"9999","GENERAL OFFICE",40100,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","GENERAL OFFICE","36",".",NA,0,NA,0,"36"
"383",2021,"0050","444","0364",NA,NA,"ANNA STATE HOSPITAL",1181699.68,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ANNA STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"384",2022,"0050","444","0364",NA,"9999","ANNA STATE HOSPITAL",767617.82,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ANNA STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"385",2021,"0050","444","0367",NA,NA,"CHICAGO-READ MH/DD CENTER",266450.31,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","CHICAGO-READ MH/DD CENTER","36",".",NA,0,NA,0,"36"
"386",2022,"0050","444","0367",NA,"9999","CHICAGO-READ MH/DD CENTER",151409.56,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","CHICAGO-READ MH/DD CENTER","36",".",NA,0,NA,0,"36"
"387",2021,"0050","444","0368",NA,NA,"H.DOUGLAS SINGER ZONE CENTER",8716.62,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","H.DOUGLAS SINGER ZONE CENTER","36",".",NA,0,NA,0,"36"
"388",2022,"0050","444","0368",NA,"9999","H.DOUGLAS SINGER ZONE CENTER",19069.57,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","H.DOUGLAS SINGER ZONE CENTER","36",".",NA,0,NA,0,"36"
"389",2021,"0050","444","0369",NA,NA,"WAUKEGAN DEVELOPMENTAL CTR",1625852.58,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WAUKEGAN DEVELOPMENTAL CTR","36",".",NA,0,NA,0,"36"
"390",2022,"0050","444","0369",NA,"9999","WAUKEGAN DEVELOPMENTAL CTR",1761932.3,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WAUKEGAN DEVELOPMENTAL CTR","36",".",NA,0,NA,0,"36"
"391",2021,"0050","444","0370",NA,NA,"JOHN J. MADDEN ZONE CENTER",111568.72,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","JOHN J. MADDEN ZONE CENTER","36",".",NA,0,NA,0,"36"
"392",2022,"0050","444","0370",NA,"9999","JOHN J. MADDEN ZONE CENTER",14382.58,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","JOHN J. MADDEN ZONE CENTER","36",".",NA,0,NA,0,"36"
"393",2021,"0050","444","0371",NA,NA,"WARREN G MURRAY CHILDREN CTR",2431017.97,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WARREN G MURRAY CHILDREN CTR","36",".",NA,0,NA,0,"36"
"394",2022,"0050","444","0371",NA,"9999","WARREN G MURRAY CHILDREN CTR",2463732.45,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WARREN G MURRAY CHILDREN CTR","36",".",NA,0,NA,0,"36"
"395",2021,"0050","444","0372",NA,NA,"ELGIN STATE HOSPITAL",152120.42,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ELGIN STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"396",2022,"0050","444","0372",NA,"9999","ELGIN STATE HOSPITAL",229243.88,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ELGIN STATE HOSPITAL","36",".",NA,0,NA,0,"36"
"397",2021,"0050","444","0373",NA,NA,"GEORGE A. ZELLER ZONE CENTER",7275.5,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","GEORGE A. ZELLER ZONE CENTER","36",".",NA,0,NA,0,"36"
"398",2021,"0050","444","0374",NA,NA,"CHESTER MENTAL HEALTH CENTER",118011.62,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","CHESTER MENTAL HEALTH CENTER","36",".",NA,0,NA,0,"36"
"399",2022,"0050","444","0374",NA,"9999","CHESTER MENTAL HEALTH CENTER",126461.01,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","CHESTER MENTAL HEALTH CENTER","36",".",NA,0,NA,0,"36"
"400",2021,"0050","444","0376",NA,NA,"ANDREW MCFARLAND ZONE CENTER",257510.17,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ANDREW MCFARLAND ZONE CENTER","36",".",NA,0,NA,0,"36"
"401",2022,"0050","444","0376",NA,"9999","ANDREW MCFARLAND ZONE CENTER",435918.37,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ANDREW MCFARLAND ZONE CENTER","36",".",NA,0,NA,0,"36"
"402",2021,"0050","444","0377",NA,NA,"SAM H. SHAPIRO MH/DD CENTER",4229542.64,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","SAM H. SHAPIRO MH/DD CENTER","36",".",NA,0,NA,0,"36"
"403",2022,"0050","444","0377",NA,"9999","SAM H. SHAPIRO MH/DD CENTER",4035282.4,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","SAM H. SHAPIRO MH/DD CENTER","36",".",NA,0,NA,0,"36"
"404",2021,"0050","444","0379",NA,NA,"WILLIAM W. FOX CHILDREN CTR",1105293.23,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WILLIAM W. FOX CHILDREN CTR","36",".",NA,0,NA,0,"36"
"405",2022,"0050","444","0379",NA,"9999","WILLIAM W. FOX CHILDREN CTR",1056361.01,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","WILLIAM W. FOX CHILDREN CTR","36",".",NA,0,NA,0,"36"
"406",2021,"0050","444","0381",NA,NA,"ELIZABETH LUDEMAN MH/DD CTR",2923343.49,NA,"MENTAL HEALTH","HUMAN SERVICES","D","SPECIAL STATE FUNDS","0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ELIZABETH LUDEMAN MH/DD CTR","36",".",NA,0,NA,0,"36"
"407",2022,"0050","444","0381",NA,"9999","ELIZABETH LUDEMAN MH/DD CTR",2885692.13,"rev_ioc_22.08.01","MENTAL HEALTH","HUMAN SERVICES",NA,NA,"0050","0050","0",NA,"1","MENTAL HEALTH","D","Special State Funds","1","1","ELIZABETH LUDEMAN MH/DD CTR","36",".",NA,0,NA,0,"36"
"408",2021,"0301","426","0392",NA,NA,"PRISON INDUSTRY REVENUES",618457.33,NA,"WORKING CAPITAL REVOLVING","CORRECTIONS","H","REVOLVING FUNDS","0301","0301","0",NA,"1","WORKING CAPITAL REVOLVING","H","Revolving Funds","1","1","PRISON INDUSTRY REVENUES","36",".",NA,0,NA,0,"36"
"409",2022,"0301","426","0392",NA,"9999","PRISON INDUSTRY REVENUES",252565.56,"rev_ioc_22.08.01","WORKING CAPITAL REVOLVING","CORRECTIONS",NA,NA,"0301","0301","0",NA,"1","WORKING CAPITAL REVOLVING","H","Revolving Funds","1","1","PRISON INDUSTRY REVENUES","36",".",NA,0,NA,0,"36"
"410",2021,"0001","446","0394",NA,NA,"PRIVILEGE TAX - INSURANCE",243048068.45,NA,"GENERAL REVENUE","INSURANCE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PRIVILEGE TAX - INSURANCE","24",".",NA,0,NA,0,"24"
"411",2021,"0378","446","0394",NA,NA,"PRIVILEGE TAX - INSURANCE",1625000,NA,"INSURANCE PREMIUM TAX REFUND","INSURANCE","D","SPECIAL STATE FUNDS","0378","0378","0",NA,"1","INSURANCE PREMIUM TAX REFUND","D","Special State Funds","1","1","PRIVILEGE TAX - INSURANCE","24",".",NA,0,NA,0,"24"
"412",2022,"0001","446","0394",NA,"9999","PRIVILEGE TAX - INSURANCE",211319867.3,"rev_ioc_22.08.01","GENERAL REVENUE","INSURANCE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PRIVILEGE TAX - INSURANCE","24",".",NA,0,NA,0,"24"
"413",2022,"0378","446","0394",NA,"9999","PRIVILEGE TAX - INSURANCE",2380948,"rev_ioc_22.08.01","INSURANCE PREMIUM TAX REFUND","INSURANCE",NA,NA,"0378","0378","0",NA,"1","INSURANCE PREMIUM TAX REFUND","D","Special State Funds","1","1","PRIVILEGE TAX - INSURANCE","24",".",NA,0,NA,0,"24"
"414",2022,"0001","420","0398",NA,"9999","GRANTEE INTEREST INCOME",4878.58,"rev_ioc_22.08.01","GENERAL REVENUE","COMMERCE AND ECONOMIC OPPORTUN",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","GRANTEE INTEREST INCOME","78",".",NA,0,NA,0,"78"
"415",2022,"0081","444","0400",NA,"9999","RSV-DEVELOPMENT & EDUCATION",928,"rev_ioc_22.08.01","VOCATIONAL REHABILITATION","HUMAN SERVICES",NA,NA,"0081","0081","0",NA,"1","VOCATIONAL REHABILITATION","G","Federal Trust Funds","1","1","RSV-DEVELOPMENT & EDUCATION","78",".",NA,0,NA,0,"78"
"416",2021,"0001","201","0407",NA,NA,"PRO RATA SHARE EXPENSE/CTYS",170133.4,NA,"GENERAL REVENUE","SUPREME COURT","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PRO RATA SHARE EXPENSE/CTYS","78",".",NA,0,NA,0,"78"
"417",2022,"0001","201","0407",NA,"9999","PRO RATA SHARE EXPENSE/CTYS",171183.67,"rev_ioc_22.08.01","GENERAL REVENUE","SUPREME COURT",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","PRO RATA SHARE EXPENSE/CTYS","78",".",NA,0,NA,0,"78"
"418",2021,"0001","492","0413",NA,NA,"P.U. TAX-MESSAGE/REGULAR",183197906.98,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","P.U. TAX-MESSAGE/REGULAR","12",".",NA,0,NA,0,"12"
"419",2022,"0001","492","0413",NA,"9999","P.U. TAX-MESSAGE/REGULAR",163044580.01,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","P.U. TAX-MESSAGE/REGULAR","12",".",NA,0,NA,0,"12"
"420",2021,"0001","492","0415",NA,NA,"P.U. TAX-GAS/REGULAR",148154584.94,NA,"GENERAL REVENUE","REVENUE","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","P.U. TAX-GAS/REGULAR","12",".",NA,0,NA,0,"12"
"421",2022,"0001","492","0415",NA,"9999","P.U. TAX-GAS/REGULAR",154561445.45,"rev_ioc_22.08.01","GENERAL REVENUE","REVENUE",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","P.U. TAX-GAS/REGULAR","12",".",NA,0,NA,0,"12"
"422",2021,"0802","492","0419",NA,NA,"ELECTRICITY DISTRIBUTION TAX",233316582.96,NA,"PERSONAL PROPERTY TAX REPLACE","REVENUE","D","SPECIAL STATE FUNDS","0802","0802","0",NA,"1","PERSONAL PROPERTY TAX REPLACE","D","Special State Funds","1","1","ELECTRICITY DISTRIBUTION TAX","12",".",NA,0,NA,0,"12"
"423",2022,"0802","492","0419",NA,"9999","ELECTRICITY DISTRIBUTION TAX",263516437.47,"rev_ioc_22.08.01","PERSONAL PROPERTY TAX REPLACE","REVENUE",NA,NA,"0802","0802","0",NA,"1","PERSONAL PROPERTY TAX REPLACE","D","Special State Funds","1","1","ELECTRICITY DISTRIBUTION TAX","12",".",NA,0,NA,0,"12"
"424",2021,"0085","492","0423",NA,NA,"PULL TABS & JAR GAMES LIC.",144425,NA,"IL GAMING LAW ENFORCEMENT","REVENUE","D","SPECIAL STATE FUNDS","0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","PULL TABS & JAR GAMES LIC.","39",".",NA,0,NA,0,"39"
"425",2021,"0412","492","0423",NA,NA,"PULL TABS & JAR GAMES LIC.",144425,NA,"COMMON SCHOOL","REVENUE","A","GENERAL FUNDS","0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","PULL TABS & JAR GAMES LIC.","39",".",NA,0,NA,0,"39"
"426",2022,"0085","492","0423",NA,"9999","PULL TABS & JAR GAMES LIC.",146362.5,"rev_ioc_22.08.01","IL GAMING LAW ENFORCEMENT","REVENUE",NA,NA,"0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","PULL TABS & JAR GAMES LIC.","39",".",NA,0,NA,0,"39"
"427",2022,"0412","492","0423",NA,"9999","PULL TABS & JAR GAMES LIC.",146362.5,"rev_ioc_22.08.01","COMMON SCHOOL","REVENUE",NA,NA,"0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","PULL TABS & JAR GAMES LIC.","39",".",NA,0,NA,0,"39"
"428",2021,"0085","492","0424",NA,NA,"PULL TABS AND JAR GAMES TAX",781015.9,NA,"IL GAMING LAW ENFORCEMENT","REVENUE","D","SPECIAL STATE FUNDS","0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","PULL TABS AND JAR GAMES TAX","35",".",NA,0,NA,0,"35"
"429",2021,"0412","492","0424",NA,NA,"PULL TABS AND JAR GAMES TAX",781015.93,NA,"COMMON SCHOOL","REVENUE","A","GENERAL FUNDS","0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","PULL TABS AND JAR GAMES TAX","35",".",NA,0,NA,0,"35"
"430",2022,"0085","492","0424",NA,"9999","PULL TABS AND JAR GAMES TAX",1181950.43,"rev_ioc_22.08.01","IL GAMING LAW ENFORCEMENT","REVENUE",NA,NA,"0085","0085","0",NA,"1","IL GAMING LAW ENFORCEMENT","D","Special State Funds","1","1","PULL TABS AND JAR GAMES TAX","35",".",NA,0,NA,0,"35"
"431",2022,"0412","492","0424",NA,"9999","PULL TABS AND JAR GAMES TAX",1181950.38,"rev_ioc_22.08.01","COMMON SCHOOL","REVENUE",NA,NA,"0412","0412","0",NA,"1","COMMON SCHOOL","A","General Funds","1","1","PULL TABS AND JAR GAMES TAX","35",".",NA,0,NA,0,"35"
"432",2021,"0286","492","0426",NA,NA,"REAL ESTATE TRANSFER TAX",44187683.22,NA,"IL AFFORDABLE HOUSING TRUST","REVENUE","D","SPECIAL STATE FUNDS","0286","0286","0",NA,"1","IL AFFORDABLE HOUSING TRUST","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"433",2021,"0298","492","0426",NA,NA,"REAL ESTATE TRANSFER TAX",13256304.85,NA,"NATURAL AREAS ACQUISITION","REVENUE","D","SPECIAL STATE FUNDS","0298","0298","0",NA,"1","NATURAL AREAS ACQUISITION","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"434",2021,"0299","492","0426",NA,NA,"REAL ESTATE TRANSFER TAX",30931378.08,NA,"OPEN SPACE LANDS ACQUIS&DEVEL","REVENUE","D","SPECIAL STATE FUNDS","0299","0299","0",NA,"1","OPEN SPACE LANDS ACQUIS&DEVEL","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"435",2022,"0286","492","0426",NA,"9999","REAL ESTATE TRANSFER TAX",60934778.9,"rev_ioc_22.08.01","IL AFFORDABLE HOUSING TRUST","REVENUE",NA,NA,"0286","0286","0",NA,"1","IL AFFORDABLE HOUSING TRUST","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"436",2022,"0298","492","0426",NA,"9999","REAL ESTATE TRANSFER TAX",18280433.78,"rev_ioc_22.08.01","NATURAL AREAS ACQUISITION","REVENUE",NA,NA,"0298","0298","0",NA,"1","NATURAL AREAS ACQUISITION","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"437",2022,"0299","492","0426",NA,"9999","REAL ESTATE TRANSFER TAX",42654345.41,"rev_ioc_22.08.01","OPEN SPACE LANDS ACQUIS&DEVEL","REVENUE",NA,NA,"0299","0299","0",NA,"1","OPEN SPACE LANDS ACQUIS&DEVEL","D","Special State Funds","1","1","REAL ESTATE TRANSFER TAX","35",".",NA,0,NA,0,"35"
"438",2021,"0921","444","0427",NA,NA,"RECIPIENT-ADMIN SUPPORT",204745.71,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-ADMIN SUPPORT","36",".",NA,0,NA,0,"36"
"439",2022,"0921","444","0427",NA,"9999","RECIPIENT-ADMIN SUPPORT",213056.42,"rev_ioc_22.08.01","DHS RECOVERIES TRUST","HUMAN SERVICES",NA,NA,"0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-ADMIN SUPPORT","36",".",NA,0,NA,0,"36"
"440",2021,"0921","444","0428",NA,NA,"RECIPIENT-EXCESS ASSISTANCE",2489518.95,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-EXCESS ASSISTANCE","36",".",NA,0,NA,0,"36"
"441",2022,"0921","444","0428",NA,"9999","RECIPIENT-EXCESS ASSISTANCE",1954278.3,"rev_ioc_22.08.01","DHS RECOVERIES TRUST","HUMAN SERVICES",NA,NA,"0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-EXCESS ASSISTANCE","36",".",NA,0,NA,0,"36"
"442",2021,"0921","444","0429",NA,NA,"RECIPIENT-FOOD STAMP PROGRAM",3613126.2,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-FOOD STAMP PROGRAM","36",".",NA,0,NA,0,"36"
"443",2022,"0921","444","0429",NA,"9999","RECIPIENT-FOOD STAMP PROGRAM",3211721.89,"rev_ioc_22.08.01","DHS RECOVERIES TRUST","HUMAN SERVICES",NA,NA,"0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","RECIPIENT-FOOD STAMP PROGRAM","36",".",NA,0,NA,0,"36"
"444",2021,"0001","444","0430",NA,NA,"FUNERAL & BURIAL RECOVERIES",204,NA,"GENERAL REVENUE","HUMAN SERVICES","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FUNERAL & BURIAL RECOVERIES","36",".",NA,0,NA,0,"36"
"445",2022,"0001","444","0430",NA,"9999","FUNERAL & BURIAL RECOVERIES",238,"rev_ioc_22.08.01","GENERAL REVENUE","HUMAN SERVICES",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FUNERAL & BURIAL RECOVERIES","36",".",NA,0,NA,0,"36"
"446",2021,"0421","478","0431",NA,NA,"MEDICAL",21792685.03,NA,"PUBLIC AID RECOVERIES TRUST","HEALTHCARE & FAMILY SERVICES","I","STATE TRUST FUNDS","0421","0421","0",NA,"1","PUBLIC AID RECOVERIES TRUST","I","State Trust Funds","1","1","MEDICAL","36",".",NA,0,NA,0,"36"
"447",2022,"0421","478","0431",NA,"9999","MEDICAL",29191588.13,"rev_ioc_22.08.01","PUBLIC AID RECOVERIES TRUST","HEALTHCARE & FAMILY SERVICES",NA,NA,"0421","0421","0",NA,"1","PUBLIC AID RECOVERIES TRUST","I","State Trust Funds","1","1","MEDICAL","36",".",NA,0,NA,0,"36"
"448",2021,"0921","444","0432",NA,NA,"NON-MEDICAL",1107971.8,NA,"DHS RECOVERIES TRUST","HUMAN SERVICES","I","STATE TRUST FUNDS","0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","NON-MEDICAL","36",".",NA,0,NA,0,"36"
"449",2022,"0921","444","0432",NA,"9999","NON-MEDICAL",1408905.57,"rev_ioc_22.08.01","DHS RECOVERIES TRUST","HUMAN SERVICES",NA,NA,"0921","0921","0",NA,"1","DHS RECOVERIES TRUST","I","State Trust Funds","1","1","NON-MEDICAL","36",".",NA,0,NA,0,"36"
"450",2021,"0001","444","0433",NA,NA,"REFUGEE-ENTRANT PROGRAM",1038.42,NA,"GENERAL REVENUE","HUMAN SERVICES","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","REFUGEE-ENTRANT PROGRAM","36",".",NA,0,NA,0,"36"
"451",2021,"0421","478","0435",NA,NA,"MEDICAL-CIRCUIT   CLERK",36027.82,NA,"PUBLIC AID RECOVERIES TRUST","HEALTHCARE & FAMILY SERVICES","I","STATE TRUST FUNDS","0421","0421","0",NA,"1","PUBLIC AID RECOVERIES TRUST","I","State Trust Funds","1","1","MEDICAL-CIRCUIT   CLERK","36",".",NA,0,NA,0,"36"
"452",2022,"0421","478","0435",NA,"9999","MEDICAL-CIRCUIT   CLERK",39626.29,"rev_ioc_22.08.01","PUBLIC AID RECOVERIES TRUST","HEALTHCARE & FAMILY SERVICES",NA,NA,"0421","0421","0",NA,"1","PUBLIC AID RECOVERIES TRUST","I","State Trust Funds","1","1","MEDICAL-CIRCUIT   CLERK","36",".",NA,0,NA,0,"36"
"453",2021,"0001","103","0439",NA,NA,"REIMBURSE AUDITS-FED PROGRAM",3095267,NA,"GENERAL REVENUE","AUDITOR GENERAL","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","REIMBURSE AUDITS-FED PROGRAM","57","FEDERAL OTHER",NA,0,NA,0,"57"
"454",2022,"0001","103","0439",NA,"9999","REIMBURSE AUDITS-FED PROGRAM",3053543,"rev_ioc_22.08.01","GENERAL REVENUE","AUDITOR GENERAL",NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","REIMBURSE AUDITS-FED PROGRAM","57","FEDERAL OTHER",NA,0,NA,0,"57"
"455",2021,"0001","103","0441",NA,NA,"REIMBURSE AUDITS-DPA",302265,NA,"GENERAL REVENUE","AUDITOR GENERAL","A","GENERAL FUNDS","0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","REIMBURSE AUDITS-DPA","78",".",NA,0,NA,0,"78"
