fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag,med_option_recent,rev_type_new
2020,0694,350,0933,0,9999,CERTIFICATE OF TITLE,69305125.11,rev ioc 03.11.2020,CAPITAL PROJECTS,SECRETARY OF STATE,NA,NA,0694,0694,0,NA,1,CAPITAL PROJECTS,F,Debt Service Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2020,0902,350,0933,0,9999,CERTIFICATE OF TITLE,41650003.28,rev ioc 03.11.2020,STATE CONSTRUCTION ACCOUNT,SECRETARY OF STATE,NA,NA,0902,0902,0,NA,1,STATE CONSTRUCTION ACCOUNT,B,Highway Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2020,0962,350,0933,0,9999,CERTIFICATE OF TITLE,6104969,rev ioc 03.11.2020,PARK & CONSERVATION,SECRETARY OF STATE,NA,NA,0962,0962,0,NA,1,PARK & CONSERVATION,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0001,350,0933,NA,NA,CERTIFICATE OF TITLE,24769260.75,NA,GENERAL REVENUE,SECRETARY OF STATE,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0011,350,0933,NA,NA,CERTIFICATE OF TITLE,81368010.08,NA,ROAD,SECRETARY OF STATE,B,HIGHWAY FUNDS,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0199,350,0933,NA,NA,CERTIFICATE OF TITLE,1712540.05,NA,ILLINOIS FISHERIES MANAGEMENT,SECRETARY OF STATE,D,SPECIAL STATE FUNDS,0199-B,0199,2,NA,1,ILLINOIS FISHERIES MANAGEMENT,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0622,350,0933,NA,NA,CERTIFICATE OF TITLE,10844869,NA,MOTOR VEHICLE LICENSE PLATE,SECRETARY OF STATE,D,SPECIAL STATE FUNDS,0622,0622,0,NA,1,MOTOR VEHICLE LICENSE PLATE,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0694,350,0933,NA,NA,CERTIFICATE OF TITLE,80132093.02,NA,CAPITAL PROJECTS,SECRETARY OF STATE,F,DEBT SERVICE FUNDS,0694,0694,0,NA,1,CAPITAL PROJECTS,F,Debt Service Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0902,350,0933,NA,NA,CERTIFICATE OF TITLE,47788241.72,NA,STATE CONSTRUCTION ACCOUNT,SECRETARY OF STATE,B,HIGHWAY FUNDS,0902,0902,0,NA,1,STATE CONSTRUCTION ACCOUNT,B,Highway Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2021,0962,350,0933,NA,NA,CERTIFICATE OF TITLE,7046179.4,NA,PARK & CONSERVATION,SECRETARY OF STATE,D,SPECIAL STATE FUNDS,0962,0962,0,NA,1,PARK & CONSERVATION,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0001,350,0933,NA,9999,CERTIFICATE OF TITLE,21763569.75,rev_ioc_22.08.01,GENERAL REVENUE,SECRETARY OF STATE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0011,350,0933,NA,9999,CERTIFICATE OF TITLE,72287301.94,rev_ioc_22.08.01,ROAD,SECRETARY OF STATE,NA,NA,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0199,350,0933,NA,9999,CERTIFICATE OF TITLE,1515416.15,rev_ioc_22.08.01,ILLINOIS FISHERIES MANAGEMENT,SECRETARY OF STATE,NA,NA,0199-B,0199,2,NA,1,ILLINOIS FISHERIES MANAGEMENT,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0622,350,0933,NA,9999,CERTIFICATE OF TITLE,9646541,rev_ioc_22.08.01,MOTOR VEHICLE LICENSE PLATE,SECRETARY OF STATE,NA,NA,0622,0622,0,NA,1,MOTOR VEHICLE LICENSE PLATE,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0694,350,0933,NA,9999,CERTIFICATE OF TITLE,71101788.98,rev_ioc_22.08.01,CAPITAL PROJECTS,SECRETARY OF STATE,NA,NA,0694,0694,0,NA,1,CAPITAL PROJECTS,F,Debt Service Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0902,350,0933,NA,9999,CERTIFICATE OF TITLE,42504127.76,rev_ioc_22.08.01,STATE CONSTRUCTION ACCOUNT,SECRETARY OF STATE,NA,NA,0902,0902,0,NA,1,STATE CONSTRUCTION ACCOUNT,B,Highway Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
2022,0962,350,0933,NA,9999,CERTIFICATE OF TITLE,6268101.4,rev_ioc_22.08.01,PARK & CONSERVATION,SECRETARY OF STATE,NA,NA,0962,0962,0,NA,1,PARK & CONSERVATION,D,Special State Funds,1,1,NA,NA,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,CERTIFICATE OF TITLE,39,.,NA,0,NA,NA,0,39
1998,0147,422,0934,0,.,COAL QUALITY TESTING,30907.59,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
1999,0147,422,0934,0,.,COAL QUALITY TESTING,24466.5,rev_IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2000,0147,422,0934,0,.,COAL QUALITY TESTING,15435.13,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2001,0147,422,0934,0,.,COAL QUALITY TESTING,37411,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2002,0147,422,0934,0,.,COAL QUALITY TESTING,19482.4,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2003,0147,422,0934,0,.,COAL QUALITY TESTING,23000.2,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2004,0147,422,0934,0,.,COAL QUALITY TESTING,31425.65,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2005,0147,422,0934,0,.,COAL QUALITY TESTING,35847.3,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2006,0147,422,0934,0,.,COAL QUALITY TESTING,53525.83,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2007,0147,422,0934,0,9999,COAL QUALITY TESTING,29169,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2008,0147,422,0934,0,9999,COAL QUALITY TESTING,30705,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2009,0147,422,0934,0,9999,COAL QUALITY TESTING,26420,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2010,0147,422,0934,0,9999,COAL QUALITY TESTING,34783.5,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2011,0147,422,0934,0,9999,COAL QUALITY TESTING,25461.71,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2012,0147,422,0934,0,9999,COAL QUALITY TESTING,38870,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2013,0147,422,0934,0,9999,COAL QUALITY TESTING,55142,rev IOC 13.08.02,NA,NA,NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2014,0147,422,0934,0,9999,COAL QUALITY TESTING,90222,rev IOC 15.09.28,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2015,0147,422,0934,0,9999,COAL QUALITY TESTING,105089.04,rev ioc 16.01.07,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2016,0147,422,0934,0,9999,COAL QUALITY TESTING,133174,rev ioc 16.08.04,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2017,0147,422,0934,0,9999,COAL QUALITY TESTING,94542,rev ioc 17.11.29,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2018,0147,422,0934,0,9999,COAL QUALITY TESTING,109710,NA,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2019,0147,422,0934,0,9999,COAL QUALITY TESTING,116109.83,rev ioc 12.11.2019,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2020,0147,422,0934,0,9999,COAL QUALITY TESTING,95650,rev ioc 03.11.2020,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2021,0147,422,0934,NA,NA,COAL QUALITY TESTING,113294.5,NA,COAL MINING REGULATORY,"NATURAL RESOURCES",D,SPECIAL STATE FUNDS,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
2022,0147,422,0934,NA,9999,COAL QUALITY TESTING,121729.5,rev_ioc_22.08.01,COAL MINING REGULATORY,"NATURAL RESOURCES",NA,NA,0147,0147,0,NA,1,COAL MINING REGULATORY,D,Special State Funds,1,1,NA,NA,COAL QUALITY TESTING,COAL QUALITY TESTING,COAL QUALITY TESTING,39,.,NA,0,NA,NA,0,39
1998,0001,492,0935,0,.,CHARITABLE GAMES ACT,16000,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
1999,0001,492,0935,0,.,CHARITABLE GAMES ACT,14255,rev_IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2000,0001,492,0935,0,.,CHARITABLE GAMES ACT,14065,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2001,0001,492,0935,0,.,CHARITABLE GAMES ACT,13650,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2002,0001,492,0935,0,.,CHARITABLE GAMES ACT,12750,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2003,0001,492,0935,0,.,CHARITABLE GAMES ACT,12400,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2004,0001,492,0935,0,.,CHARITABLE GAMES ACT,11950,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2005,0001,492,0935,0,.,CHARITABLE GAMES ACT,17400,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2006,0001,492,0935,0,.,CHARITABLE GAMES ACT,19050,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2007,0001,492,0935,0,9999,CHARITABLE GAMES ACT,19610,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2008,0001,492,0935,0,9999,CHARITABLE GAMES ACT,19000,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2009,0001,492,0935,0,9999,CHARITABLE GAMES ACT,19950,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2010,0001,492,0935,0,9999,CHARITABLE GAMES ACT,23150,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2011,0001,492,0935,0,9999,CHARITABLE GAMES ACT,22600,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2012,0001,492,0935,0,9999,CHARITABLE GAMES ACT,20650,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2013,0001,492,0935,0,9999,CHARITABLE GAMES ACT,18050,rev IOC 13.08.02,NA,NA,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
2014,0001,492,0935,0,9999,CHARITABLE GAMES ACT,31984.38,rev IOC 15.09.28,GENERAL REVENUE,REVENUE,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,NA,NA,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,CHARITABLE GAMES ACT,39,.,NA,0,NA,NA,0,39
1998,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,673004.97,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
1999,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,658239.41,rev_IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2000,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,713238.77,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2001,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,702847.34,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2002,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,721065.87,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2003,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,748827.01,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2004,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,949045.96,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2005,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,977021.36,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2006,0369,406,0936,0,.,COMM FEED MANUFACT & DIST,957508.49,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2007,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,1043635.24,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2008,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,1141655.66,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2009,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,1301662.29,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2010,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,1315945.41,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2011,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,1768052.52,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2012,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2076219.02,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2013,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2067037.84,rev IOC 13.08.02,NA,NA,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2014,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2151426.45,rev IOC 15.09.28,FEED CONTROL,AGRICULTURE,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2015,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2145744.93,rev ioc 16.01.07,FEED CONTROL,AGRICULTURE,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2016,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2589887.81,rev ioc 16.08.04,FEED CONTROL,AGRICULTURE,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
2017,0369,406,0936,0,9999,COMM FEED MANUFACT & DIST,2417543.06,rev ioc 17.11.29,FEED CONTROL,AGRICULTURE,NA,NA,0369,0369,0,NA,1,FEED CONTROL,D,Special State Funds,1,1,NA,NA,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,COMM FEED MANUFACT & DIST,39,.,NA,0,NA,NA,0,39
