fy,fund,fund_name,agency,agency_name,appr_org,org_name,obj_seq_type,appn_net_xfer,expenditure,data_source,object,category,sequence,type,trans_agency,trans_type,wh_approp_name,fund_cat,fund_cat_name.x,expenditurethrough6302022,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,refund,pension,eehc,group,group_name,year
2021,0078,SOLID WASTE MANAGEMENT,532,ENVIRONMENTAL PROTECT AGENCY,30,LAND POLLUTION CONTROL,11800000,1380000,1149949.73,NA,1180,1,00,00,.,.,GROUP INSURANCE,D,SPECIAL STATE FUNDS,NA,0078,0078,0,NA,1,SOLID WASTE MANAGEMENT,D,Special State Funds,1,1,not refund,0,1,532,532,2021
2022,0078,SOLID WASTE MANAGEMENT,532,ENVIRONMENTAL PROTECT AGENCY,30,LAND POLLUTION CONTROL,11800000,1380000,1227380.68,exp_ioc_22.08.01,1180,1,00,00,.,.,GROUP INSURANCE,NA,NA,1227380.6799999997,0078,0078,0,NA,1,SOLID WASTE MANAGEMENT,D,Special State Funds,1,1,not refund,0,1,532,532,2022
1998,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",15,DHS/EARNFARE ADVANCE,11800000,800300,652360.86,exp IOC 12.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1998
1998,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",16,MANAGEMENT INFORMATION SERVICE,11800000,180200,132983.07,exp IOC 12.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1998
1998,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",30,REHABILITATION SERVICE BUREAUS,11800000,3566800,3100827.9,exp IOC 12.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1998
1998,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",31,CLIENT ASSISTANCE PROJECT,11800000,53000,36256.51,exp IOC 12.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1998
1999,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",15,DHS/EARNFARE ADVANCE,11800000,650100,563910.07,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1999
1999,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",16,MANAGEMENT INFORMATION SERVICE,11800000,180400,141867.77,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1999
1999,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",30,REHABILITATION SERVICE BUREAUS,11800000,3503700,3114335.14,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1999
1999,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",31,CLIENT ASSISTANCE PROJECT,11800000,54700,38550.64,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1999
1999,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",40,PROG ADMIN/DISABILITY-BEHAVIOR,11800000,72400,72175.88,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,1999
2000,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",15,DHS/EARNFARE ADVANCE,11800000,693100,622860.08,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2000
2000,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",16,MANAGEMENT INFORMATION SERVICE,11800000,191400,164028.96,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2000
2000,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",30,REHABILITATION SERVICE BUREAUS,11800000,3717800,3559108.19,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2000
2000,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",31,CLIENT ASSISTANCE PROJECT,11800000,58000,47650.08,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2000
2000,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",40,PROG ADMIN/DISABILITY-BEHAVIOR,11800000,76700,76606.88,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2000
2001,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",15,ADMIN & PROGRAM SUPPORT,11800000,799800,797895.18,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2001
2001,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",16,MANAGEMENT INFORMATION SERVICE,11800000,211200,194758.3,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2001
2001,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",30,REHABILITATION SERVICE BUREAUS,11800000,4368400,4365625.72,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2001
2001,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",31,CLIENT ASSISTANCE PROJECT,11800000,65800,65732.88,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2001
2001,0081,VOCATIONAL REHABILITATION,444,"HUMAN SERVICES, DEPT OF",40,PROG ADMIN/DISABILITY-BEHAVIOR,11800000,92000,91702.68,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2001
2002,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1003800,878404.65,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2002
2002,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,277200,260022.83,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2002
2002,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,5384400,5231568.31,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2002
2002,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,84000,76842,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2002
2002,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,40,PROG ADMIN/DISABILITY-BEHAVIOR,11800000,105000,96407.37,exp IOC 13.08.13,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2002
2003,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1111400,495461.19,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2003
2003,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,306900,216982.16,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2003
2003,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,5961300,4744798.45,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2003
2003,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,93000,73456.92,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2003
2003,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,40,PROG ADMIN/DISABILITY-BEHAVIOR,11800000,116300,95271.87,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2003
2004,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1314500,1007762.01,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2004
2004,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,363000,281662.55,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2004
2004,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,7051000,5591511.82,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2004
2004,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,110000,65637.86,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2004
2004,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,40,DIS/BEHAV HEALTH PROG ADM,11800000,137500,103935.12,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2004
2005,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1434000,1239750.21,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2005
2005,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,342515,255458.5,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2005
2005,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,7692000,6905133.29,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2005
2005,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,120000,67871.04,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2005
2005,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,40,DIS/BEHAV HEALTH PROG ADM,11800000,150000,130059.89,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2005
2006,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1428300,1241174,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2006
2006,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,266500,266313.68,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2006
2006,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8845800,6799717.19,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2006
2006,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,138000,74364.72,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2006
2006,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,172500,126392.43,exp IOC 13.08.12,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2006
2007,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1518000,1112036.12,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2007
2007,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,421000,355987.86,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2007
2007,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8755000,6385660.51,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2007
2007,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,74475.15,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2007
2007,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,152000,117751.44,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2007
2008,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1520000,1344371.96,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2008
2008,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,429200,409694.38,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2008
2008,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8433000,7455506.94,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2008
2008,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,77702.3,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2008
2008,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,152000,122739.1,exp IOC 13.08.09,1180,1,00,00,.,.,NA,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2008
2009,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1632900,1299644.5,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2009
2009,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,461100,416716.41,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2009
2009,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8344300,6866108.23,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2009
2009,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,71512.18,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2009
2009,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,159000,133847.71,exp IOC 13.10.15,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2009
2010,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1637700,1344561.04,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2010
2010,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,461100,437841.01,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2010
2010,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8344300,6825449.89,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2010
2010,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,69119.88,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2010
2010,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,159000,135370.38,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2010
2011,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1637700,1435236.26,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2011
2011,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,461100,425617.03,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2011
2011,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8344300,7298851.11,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2011
2011,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,69708.76,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2011
2011,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,159000,151224.63,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2011
2012,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,1637700,1551546.54,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2012
2012,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,476100,469946.78,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2012
2012,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,8344300,7701174.95,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2012
2012,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,31,CLIENT ASSISTANCE PROJECT,11800000,131000,61474.04,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2012
2012,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,32,DHS ADMINISTRATION,11800000,183000,182039.52,exp IOC 13.08.09,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2012
2013,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,15,ADMIN & PROGRAM SUPPORT,11800000,2300000,1839193.48,exp IOC 14.09.08,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2013
2013,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,16,MANAGEMENT INFORMATION SERVICE,11800000,667000,645794.34,exp IOC 14.09.08,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2013
2013,0081,VOCATIONAL REHABILITATION,444,HUMAN SERVICES,30,REHABILITATION SERVICE BUREAUS,11800000,12070400,10081043.55,exp IOC 14.09.08,1180,1,00,00,.,.,EMPLOYER  CONTRB GRP INSURANCE,NA,NA,NA,0081,0081,0,NA,1,VOCATIONAL REHABILITATION,G,Federal Trust Funds,1,1,not refund,0,1,444,444,2013
