fy,fund,agency,source,interfund_trans,from_fund,source_name.x,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,revenuesource,total,source_name_AWM,source_name.y,source_name_formula,rev_type,rev_type_name,amnesty,local,type_assigned,source_flag
2020,0479,589,0573,0,9999,CURRENT YR/EMPLOYEE,265251732.01,rev ioc 03.11.2020,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2020,0481,131,0573,0,9999,CURRENT YR/EMPLOYEE,1193449.25,rev ioc 03.11.2020,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2021,0477,275,0573,NA,NA,CURRENT YR/EMPLOYEE,14519344.65,NA,JUDGES RETIREMENT SYSTEM,JUDGES RETIREMENT SYSTEM,I,STATE TRUST FUNDS,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2021,0479,589,0573,NA,NA,CURRENT YR/EMPLOYEE,256388828.41,NA,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,I,STATE TRUST FUNDS,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2021,0481,131,0573,NA,NA,CURRENT YR/EMPLOYEE,1211574.32,NA,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,I,STATE TRUST FUNDS,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2022,0477,275,0573,NA,9999,CURRENT YR/EMPLOYEE,14487876.39,rev_ioc_22.08.01,JUDGES RETIREMENT SYSTEM,JUDGES RETIREMENT SYSTEM,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2022,0479,589,0573,NA,9999,CURRENT YR/EMPLOYEE,258873789.97,rev_ioc_22.08.01,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
2022,0481,131,0573,NA,9999,CURRENT YR/EMPLOYEE,1171454.24,rev_ioc_22.08.01,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,CURRENT YR/EMPLOYEE,51,.,NA,NA,NA,NA
1998,0479,589,0574,0,.,CURRENT YR/EMPLOYER,130869051.76,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
1999,0479,589,0574,0,.,CURRENT YR/EMPLOYER,134302721.87,rev_IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2000,0479,589,0574,0,.,CURRENT YR/EMPLOYER,141426552.38,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2001,0479,589,0574,0,.,CURRENT YR/EMPLOYER,149664952.43,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2002,0479,589,0574,0,.,CURRENT YR/EMPLOYER,158412008.18,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2003,0479,589,0574,0,.,CURRENT YR/EMPLOYER,151951131.37,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2004,0479,589,0574,0,.,CURRENT YR/EMPLOYER,117099876.89,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2005,0479,589,0574,0,.,CURRENT YR/EMPLOYER,94726452.07,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2006,0479,589,0574,0,.,CURRENT YR/EMPLOYER,43276513.96,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2007,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,11033033.84,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2008,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,9115583.82,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2009,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7220210.46,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2010,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7341719.96,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2011,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7464924.27,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2011,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,635.4,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2012,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7729279.02,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2012,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3812.4,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2013,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7520103.01,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2013,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3826.9,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2014,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7665283.3,rev IOC 15.09.28,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2014,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3872.4,rev IOC 15.09.28,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2015,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7656941.86,rev ioc 16.01.07,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2015,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3812.4,rev ioc 16.01.07,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2016,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7411177.4,rev ioc 16.08.04,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2016,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3828.65,rev ioc 16.08.04,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2017,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7163917.19,rev ioc 17.11.29,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2017,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3828.97,rev ioc 17.11.29,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2018,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7062606.53,NA,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2018,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3875.79,NA,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2019,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7293847.12,rev ioc 12.11.2019,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2019,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3812.4,rev ioc 12.11.2019,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2020,0479,589,0574,0,9999,CURRENT YR/EMPLOYER,7774382.38,rev ioc 03.11.2020,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2020,0481,131,0574,0,9999,CURRENT YR/EMPLOYER,3896.22,rev ioc 03.11.2020,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2021,0479,589,0574,NA,NA,CURRENT YR/EMPLOYER,8069801.85,NA,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,I,STATE TRUST FUNDS,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2021,0481,131,0574,NA,NA,CURRENT YR/EMPLOYER,3903.84,NA,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,I,STATE TRUST FUNDS,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2022,0479,589,0574,NA,9999,CURRENT YR/EMPLOYER,8593553.35,rev_ioc_22.08.01,STATE EMPLOYEES RETIREMENT SYS,STATE EMPLOYEES' RETIRE SYSTEM,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
2022,0481,131,0574,NA,9999,CURRENT YR/EMPLOYER,3961.8,rev_ioc_22.08.01,GENERAL ASSEMBLY RETIREMENT,GENERAL ASSEMBLY RETIRE SYS,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,CURRENT YR/EMPLOYER,51,.,NA,NA,NA,NA
1998,0475,553,0577,0,.,CONTRIBUTIONS BY EMPLOYER,519753169.61,rev IOC 13.08.02,NA,NA,NA,NA,0475,0475,0,NA,0,IL MUNICIPAL RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0477,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,15663782,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0479,589,0577,0,.,CONTRIBUTIONS BY EMPLOYER,189910233.15,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0481,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,3003245,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0786,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,59063,rev IOC 13.08.02,NA,NA,NA,NA,0786,0786,0,NA,0,GENERAL ASSEMBLY RETIRE EXCESS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0787,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,30653,rev IOC 13.08.02,NA,NA,NA,NA,0787,0787,0,NA,0,JUDGES RETIRE EXCESS BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0788,589,0577,0,.,CONTRIBUTIONS BY EMPLOYER,8775,rev IOC 13.08.02,NA,NA,NA,NA,0788,0788,0,NA,0,STATE EMPLOYEE EXCESS BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1998,0789,593,0577,0,.,CONTRIBUTIONS BY EMPLOYER,1244.76,rev IOC 13.08.02,NA,NA,NA,NA,0789,0789,0,NA,0,TEACHER RETIRE SYS EX BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0475,553,0577,0,.,CONTRIBUTIONS BY EMPLOYER,556502971.72,rev_IOC 13.08.02,NA,NA,NA,NA,0475,0475,0,NA,0,IL MUNICIPAL RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0477,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,16438294,rev_IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0479,589,0577,0,.,CONTRIBUTIONS BY EMPLOYER,301708844.81,rev_IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0481,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,3170381.93,rev_IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0786,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,41058,rev_IOC 13.08.02,NA,NA,NA,NA,0786,0786,0,NA,0,GENERAL ASSEMBLY RETIRE EXCESS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0787,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,34806,rev_IOC 13.08.02,NA,NA,NA,NA,0787,0787,0,NA,0,JUDGES RETIRE EXCESS BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0788,589,0577,0,.,CONTRIBUTIONS BY EMPLOYER,4350,rev_IOC 13.08.02,NA,NA,NA,NA,0788,0788,0,NA,0,STATE EMPLOYEE EXCESS BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
1999,0789,593,0577,0,.,CONTRIBUTIONS BY EMPLOYER,1244.76,rev_IOC 13.08.02,NA,NA,NA,NA,0789,0789,0,NA,0,TEACHER RETIRE SYS EX BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0475,553,0577,0,.,CONTRIBUTIONS BY EMPLOYER,562371940.8,rev IOC 13.08.02,NA,NA,NA,NA,0475,0475,0,NA,0,IL MUNICIPAL RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0477,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,19156587.14,rev IOC 13.08.02,NA,NA,NA,NA,0477,0477,0,NA,0,JUDGES RETIREMENT SYSTEM,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0479,589,0577,0,.,CONTRIBUTIONS BY EMPLOYER,327126035.78,rev IOC 13.08.02,NA,NA,NA,NA,0479,0479,0,NA,0,STATE EMPLOYEES RETIREMENT SYS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0481,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,3450683,rev IOC 13.08.02,NA,NA,NA,NA,0481,0481,0,NA,0,GENERAL ASSEMBLY RETIREMENT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0786,131,0577,0,.,CONTRIBUTIONS BY EMPLOYER,20317,rev IOC 13.08.02,NA,NA,NA,NA,0786,0786,0,NA,0,GENERAL ASSEMBLY RETIRE EXCESS,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0787,275,0577,0,.,CONTRIBUTIONS BY EMPLOYER,76405,rev IOC 13.08.02,NA,NA,NA,NA,0787,0787,0,NA,0,JUDGES RETIRE EXCESS BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
2000,0789,593,0577,0,.,CONTRIBUTIONS BY EMPLOYER,6431.11,rev IOC 13.08.02,NA,NA,NA,NA,0789,0789,0,NA,0,TEACHER RETIRE SYS EX BENEFIT,I,State Trust Funds,0,0,NA,NA,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,CONTRIBUTIONS BY EMPLOYER,51,.,NA,NA,NA,NA
